This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202007 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
196307,   -0.39,   -0.47,   -0.83,    0.66,   -1.15,    0.27
196308,    5.07,   -0.79,    1.67,    0.40,   -0.40,    0.25
196309,   -1.57,   -0.48,    0.18,   -0.76,    0.24,    0.27
196310,    2.53,   -1.29,   -0.10,    2.75,   -2.24,    0.29
196311,   -0.85,   -0.84,    1.71,   -0.45,    2.22,    0.27
196312,    1.83,   -1.89,   -0.12,    0.07,   -0.30,    0.29
196401,    2.24,    0.08,    1.59,    0.22,    1.50,    0.30
196402,    1.54,    0.32,    2.83,    0.06,    0.85,    0.26
196403,    1.41,    1.41,    3.32,   -2.01,    2.93,    0.31
196404,    0.10,   -1.52,   -0.55,   -1.35,   -1.08,    0.29
196405,    1.42,   -0.68,    1.98,   -0.26,    0.24,    0.26
196406,    1.27,    0.09,    0.68,   -0.42,    0.14,    0.30
196407,    1.74,    0.53,    0.68,    0.14,    1.84,    0.30
196408,   -1.44,    0.30,    0.09,    0.06,    0.36,    0.28
196409,    2.69,   -0.31,    1.65,   -0.48,    0.58,    0.28
196410,    0.59,    0.88,    1.14,   -0.29,    0.48,    0.29
196411,    0.00,   -0.27,   -1.98,    0.60,   -0.16,    0.29
196412,    0.03,   -0.58,   -2.55,    1.13,   -1.63,    0.31
196501,    3.54,    2.49,    0.18,    0.84,    0.11,    0.28
196502,    0.44,    3.31,    0.22,    0.40,   -0.69,    0.30
196503,   -1.34,    2.03,    1.09,   -0.30,    0.73,    0.36
196504,    3.11,    1.18,    0.71,    0.26,   -2.30,    0.31
196505,   -0.77,    0.05,   -1.63,   -0.38,    0.70,    0.31
196506,   -5.51,   -4.30,    0.55,    0.12,    0.41,    0.35
196507,    1.43,    1.08,    2.18,   -1.41,   -0.02,    0.31
196508,    2.73,    2.72,   -0.96,    2.06,   -0.75,    0.33
196509,    2.86,    0.62,   -0.10,   -0.82,    0.82,    0.31
196510,    2.60,    3.42,    1.52,    1.22,   -0.76,    0.31
196511,   -0.03,    5.19,    0.21,   -1.06,   -0.90,    0.35
196512,    1.01,    2.64,    1.95,   -1.28,   -0.45,    0.33
196601,    0.72,    4.72,    3.49,   -2.83,   -0.07,    0.38
196602,   -1.21,    4.86,    0.27,   -0.15,   -1.44,    0.35
196603,   -2.51,    0.22,   -2.07,    1.30,   -0.01,    0.38
196604,    2.14,    3.36,   -0.54,    0.41,   -0.91,    0.34
196605,   -5.66,   -5.18,   -1.55,    1.66,   -1.52,    0.41
196606,   -1.44,    1.34,    0.50,    0.06,    0.80,    0.38
196607,   -1.63,   -0.50,    0.96,   -0.45,    1.77,    0.35
196608,   -7.91,   -3.03,    0.47,    0.05,    0.77,    0.41
196609,   -1.06,   -1.18,    0.53,   -1.65,    2.50,    0.40
196610,    3.86,   -6.53,    2.87,   -3.64,    4.28,    0.45
196611,    1.40,    3.37,   -4.46,    4.17,   -6.53,    0.40
196612,    0.13,    1.91,   -1.22,    0.68,   -0.13,    0.40
196701,    8.15,    9.00,    2.22,    0.62,   -2.97,    0.43
196702,    0.78,    3.03,   -2.17,    1.94,   -0.94,    0.36
196703,    3.99,    1.90,    0.31,    0.90,   -1.51,    0.39
196704,    3.89,    0.46,   -2.64,    2.43,   -3.75,    0.32
196705,   -4.33,    2.37,    0.80,   -1.75,    1.61,    0.33
196706,    2.41,    6.46,    0.96,   -0.64,   -2.39,    0.27
196707,    4.58,    3.48,    2.65,    0.51,    2.72,    0.31
196708,   -0.89,    0.76,    1.46,    0.42,    1.41,    0.31
196709,    3.11,    2.46,   -2.47,    0.22,   -0.95,    0.32
196710,   -3.09,    0.47,   -3.39,    0.81,   -2.55,    0.39
196711,    0.37,   -0.06,   -1.71,    1.29,   -2.29,    0.36
196712,    3.05,    5.75,   -0.39,   -0.64,    0.03,    0.33
196801,   -4.06,    4.48,    4.75,   -4.58,    6.45,    0.40
196802,   -3.75,   -2.91,    1.17,   -0.14,    2.49,    0.39
196803,    0.20,   -1.52,   -0.59,    1.17,   -1.15,    0.38
196804,    9.05,    6.25,   -1.03,    2.79,   -3.66,    0.43
196805,    2.28,    7.03,    0.84,    0.39,   -1.82,    0.45
196806,    0.69,   -0.26,    0.67,   -1.33,    2.68,    0.43
196807,   -2.72,   -1.33,    5.48,   -3.00,    3.61,    0.48
196808,    1.34,    2.29,    1.00,   -0.60,    0.40,    0.42
196809,    4.03,    2.77,    0.23,   -2.03,    0.92,    0.43
196810,    0.42,   -0.43,    2.89,   -1.30,    2.81,    0.44
196811,    5.43,    2.41,   -0.90,    0.46,   -2.52,    0.42
196812,   -3.94,    3.60,    0.02,   -1.78,    1.65,    0.43
196901,   -1.25,   -0.46,    1.69,   -1.54,    1.41,    0.53
196902,   -5.84,   -4.12,    0.91,    2.17,    0.80,    0.46
196903,    2.64,   -0.41,   -0.46,   -1.34,   -0.42,    0.46
196904,    1.46,   -0.82,    0.03,    0.38,    0.06,    0.53
196905,   -0.10,   -0.18,    0.73,   -0.97,    1.49,    0.48
196906,   -7.18,   -5.49,   -1.09,    4.26,   -1.55,    0.51
196907,   -7.00,   -3.37,    1.42,    1.40,    1.97,    0.53
196908,    4.68,    0.71,   -3.87,    1.16,   -4.08,    0.50
196909,   -2.98,    1.29,   -3.19,    3.42,   -0.83,    0.62
196910,    5.06,    3.89,   -3.19,    0.01,   -2.03,    0.60
196911,   -3.79,   -2.41,   -1.12,    1.44,    0.32,    0.52
196912,   -2.63,   -3.70,   -3.02,    2.47,   -2.04,    0.64
197001,   -8.10,    3.09,    3.04,   -1.77,    3.92,    0.60
197002,    5.13,   -2.58,    4.04,   -2.28,    3.06,    0.62
197003,   -1.06,   -2.40,    4.25,   -0.87,    4.43,    0.57
197004,  -11.00,   -6.30,    6.40,   -0.64,    5.88,    0.50
197005,   -6.92,   -4.42,    3.60,   -1.30,    3.62,    0.53
197006,   -5.79,   -2.17,    0.87,    0.19,    2.90,    0.58
197007,    6.93,   -0.69,    0.96,   -0.07,    1.90,    0.52
197008,    4.49,    1.54,    1.03,    0.57,   -0.15,    0.53
197009,    4.18,    8.49,   -5.58,    0.24,   -5.93,    0.54
197010,   -2.28,   -4.50,    0.27,    1.83,    2.38,    0.46
197011,    4.60,   -4.00,    1.63,    1.75,    1.59,    0.46
197012,    5.72,    3.02,    1.01,    0.14,    0.28,    0.42
197101,    4.84,    7.54,    1.38,   -2.19,   -0.14,    0.38
197102,    1.41,    2.05,   -1.29,    0.65,   -0.72,    0.33
197103,    4.13,    2.15,   -4.04,    1.97,   -2.69,    0.30
197104,    3.15,   -0.37,    0.72,   -1.56,    0.72,    0.28
197105,   -3.98,   -1.17,   -1.38,    1.46,    0.30,    0.29
197106,   -0.10,   -1.45,   -2.06,    1.52,   -1.74,    0.37
197107,   -4.50,   -1.41,    0.17,    0.48,    1.62,    0.40
197108,    3.79,   -0.18,    2.67,   -0.34,    2.60,    0.47
197109,   -0.85,    0.19,   -2.96,    2.59,   -1.56,    0.37
197110,   -4.42,   -1.65,   -0.43,    1.48,   -1.24,    0.37
197111,   -0.46,   -2.90,   -1.70,    2.45,   -0.36,    0.37
197112,    8.71,    3.27,   -0.35,   -0.43,   -1.83,    0.37
197201,    2.49,    6.33,    1.99,   -1.48,    0.29,    0.29
197202,    2.87,    0.95,   -2.76,    1.65,   -0.52,    0.25
197203,    0.63,   -0.49,   -1.73,    1.58,   -0.19,    0.27
197204,    0.29,    0.15,    0.23,   -0.59,   -0.89,    0.29
197205,    1.25,   -3.15,   -2.69,    2.33,   -1.85,    0.30
197206,   -2.43,   -0.35,   -2.51,    1.75,   -0.36,    0.29
197207,   -0.80,   -2.74,    0.78,    1.08,   -0.59,    0.31
197208,    3.26,   -3.53,    4.69,   -2.02,    2.95,    0.29
197209,   -1.14,   -2.25,    0.47,    1.67,   -1.98,    0.34
