This file was created by CMPT_ME_BEME_RETS_WEEKLY using the 202007 CRSP database.
The Tbill return is the weekly rate that, over four weeks, 
compounds to 1-month TBill rate from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RF
19260702,    1.60,   -0.57,   -0.90,   0.056
19260710,    0.36,   -0.86,    0.27,   0.056
19260717,    1.01,    0.83,   -1.84,   0.056
19260724,   -2.05,    0.15,   -0.25,   0.056
19260731,    3.04,   -1.86,   -0.85,   0.056
19260807,    2.01,    0.08,    0.53,   0.063
19260814,    0.33,   -0.66,    0.76,   0.063
19260821,   -1.11,    0.26,    1.95,   0.063
19260828,    0.53,    0.07,    0.84,   0.063
19260903,    1.87,   -0.41,    0.55,   0.057
19260911,   -1.27,    0.16,   -0.01,   0.057
19260918,    0.16,   -1.10,    0.32,   0.057
19260925,    0.62,   -0.80,   -0.39,   0.057
19261002,    0.48,   -0.08,   -0.48,   0.080
19261009,   -4.14,   -0.31,   -0.35,   0.080
19261016,   -1.62,   -1.10,    1.02,   0.080
19261023,    1.05,    0.63,   -0.35,   0.080
19261030,    0.83,    0.87,    0.54,   0.080
19261106,    1.47,   -0.88,    0.37,   0.077
19261113,    0.71,    0.46,   -0.96,   0.077
19261120,   -0.56,    0.67,    0.76,   0.077
19261127,    1.03,   -0.17,   -0.13,   0.077
19261204,    0.90,    0.02,   -0.79,   0.069
19261211,    0.81,    0.47,   -0.18,   0.069
19261218,    1.38,   -0.99,    0.94,   0.069
19261224,    0.25,   -0.25,   -0.90,   0.069
19261231,   -0.89,    0.37,    0.24,   0.069
19270108,    0.17,    0.59,   -0.03,   0.062
19270115,    0.06,   -1.02,    2.53,   0.062
19270122,   -0.04,    0.16,    1.74,   0.062
19270129,   -0.83,   -0.12,    0.52,   0.062
19270205,    1.66,    1.28,    2.86,   0.064
19270211,    0.39,   -0.09,   -0.21,   0.064
19270219,    1.15,   -0.56,    1.66,   0.064
19270226,    0.96,    0.34,   -1.56,   0.064
19270305,   -0.68,    0.15,   -1.54,   0.074
19270312,    0.83,   -0.54,    0.00,   0.074
19270319,    0.05,   -1.00,   -2.39,   0.074
19270326,    0.47,    0.17,   -0.09,   0.074
19270402,   -0.17,   -0.89,    1.17,   0.064
